Categoria,Subcategoria,Zona,Precio_Min,Precio_Max,Unidad,Complejidad
Fontanería,Sustitución de grifo monomando (Lavabo/Fregadero),Córdoba,3500,7500,Unidad,Baja
Fontanería,Instalación de columna de ducha/Conjunto,Córdoba,5500,11000,Unidad,Media
Fontanería,Reparación fuga en tubería de cobre (soldadura),Córdoba,6500,14000,Servicio,Media
Fontanería,Reparación fuga en tubería de multicapa/PVC,Córdoba,5000,11000,Servicio,Media
Fontanería,Desatasco manual de sifón/desagüe,Córdoba,4000,8000,Servicio,Baja
Fontanería,Desatasco mecánico con máquina de presión,Andalucía,9000,18000,Servicio,Media
Fontanería,Localización de fuga con cámara térmica/geófono,Andalucía,12000,35000,Servicio,Alta
Fontanería,Sustitución de mecanismo de descarga cisterna,Córdoba,4500,9000,Servicio,Baja
Fontanería,Instalación de termo eléctrico hasta 100L,Andalucía,12000,22000,Instalación,Media
Fontanería,Sustitución de llave de escuadra o paso,Córdoba,2500,5500,Unidad,Baja
Fontanería,Instalación de equipo de ósmosis (mano obra),Córdoba,6500,15000,Servicio,Media
Fontanería,Instalación de descalcificador doméstico,Andalucía,15000,35000,Instalación,Alta
Fontanería,Sustitución de bajante comunitaria (tramo metro),Andalucía,15000,45000,Metro,Alta
Electricidad,Instalación de punto de luz/Lámpara,Córdoba,2500,5000,Unidad,Baja
Electricidad,Sustitución de enchufe o interruptor,Córdoba,1200,3000,Unidad,Baja
Electricidad,Instalación de ventilador de techo,Córdoba,4500,9500,Unidad,Media
Electricidad,Sustitución de diferencial o térmico defectuoso,Córdoba,3500,7500,Unidad,Media
Electricidad,Reforma de cuadro eléctrico (vivienda estándar),Andalucía,25000,55000,Instalación,Alta
Electricidad,Boletín Eléctrico / Certificado CIE,Andalucía,9000,18000,Certificado,Media
Electricidad,Instalación de videoportero (mano obra),Córdoba,12000,28000,Instalación,Alta
Electricidad,Punto de recarga para coche eléctrico (Wallbox),España,45000,110000,Instalación,Alta
Electricidad,Instalación de antena TV o toma adicional,Córdoba,5500,12000,Servicio,Media
Electricidad,Detección y reparación de derivación/fuga,Córdoba,6000,18000,Servicio,Alta
